"","Year 1995","Sharpe.Ratios"," ","Year 1996","Sharpe.Ratios"," ","Year 1997","Sharpe.Ratios"," ","Year 1998","Sharpe.Ratios"," ","Year 1999","Sharpe.Ratios"," ","Year 2000","Sharpe.Ratios"," ","Year 2001","Sharpe.Ratios"," ","Year 2002","Sharpe.Ratios"," ","Year 2003","Sharpe.Ratios"," ","Year 2004","Sharpe.Ratios"," ","Year 2005","Sharpe.Ratios"," ","Year 2006","Sharpe.Ratios"," ","Year 2007","Sharpe.Ratios"," ","Year 2008","Sharpe.Ratios"," ","Year 2009","Sharpe.Ratios"," ","Year 2010","Sharpe.Ratios"," ","Year 2011","Sharpe.Ratios"," ","Year 2012","Sharpe.Ratios"," ","Year 2013","Sharpe.Ratios"," ","Year 2014","Sharpe.Ratios"," ","Year 2015","Sharpe.Ratios"," ","Year 2016","Sharpe.Ratios"," ","Years","Sharpe.Ratios","Spaces"
"1","Fund-919",0.455704362480762," ","Fund-1463",0.28465817583279," ","Fund-1463",0.375834887841042," ","Fund-1463",0.472639866415037," ","Fund-1463",0.790996488954667," ","Fund-1463",0.718944478336656," ","Fund-4148",0.541162838475368," ","Fund-35123",0.432145705501718," ","Fund-38578",1.60743574482764," ","Fund-35123",8.8715165952025," ","Fund-4148",Inf," ","Fund-76843",Inf," ","Fund-81922",Inf," ","Fund-81922",Inf," ","Fund-78129",31.3838373970302," ","Fund-78129",50.0720057272582," ","Fund-50308",0.351878587648077," ","Fund-54291",0.196071144988882," ","Fund-54291",0.236897270700684," ","Fund-54291",0.315242298905458," ","Fund-52116",0.373450874311416," ","Fund-82630",0.174295911435277," ","Fund-54291",0.368458134847474," "
"2","Fund-2866",0.202954464619405," ","Fund-34563",0.28422270096317," ","Fund-34563",0.373795768567483," ","Fund-4146",0.467640359153371," ","Fund-34563",0.790996488954667," ","Fund-459",0.700571125020049," ","Fund-4146",0.303864738480419," ","Fund-459",0.349420725187867," ","Fund-76843",0.669411722135585," ","Fund-76843",0.875586478535821," ","Fund-35123",Inf," ","Fund-75215",1.20217676985877," ","Fund-78127",9.21328070506916," ","Fund-78128",6.27591000616995," ","Fund-78130",31.3838373970302," ","Fund-78130",50.0720057272582," ","Fund-48162",0.333584985932457," ","Fund-75012",0.15995644856016," ","Fund-82630",0.175392303894578," ","Fund-52115",0.208583247199925," ","Fund-52115",0.351899647286522," ","Fund-52116",0.159482787184483," ","Fund-82630",0.188395038187391," "
"3","Fund-37321",0.180711716890143," ","Fund-4158",0.188789875476402," ","Fund-4148",0.316552588154657," ","Fund-459",0.304871142840278," ","Fund-459",0.470987501556662," ","Fund-34563",0.52601421030658," ","Fund-2379",0.209533870754263," ","Fund-1463",0.325237509589458," ","Fund-41147",0.563004031653525," ","Fund-4148",0.624797952045257," ","Fund-76843",1.41414076021615," ","Fund-38578",1.05874154649693," ","Fund-78128",7.53850136945292," ","Fund-78127",5.26965828100134," ","Fund-81922",27.1279609495447," ","Fund-78127",9.71224341562465," ","Fund-50309",0.247129177239905," ","Fund-78086",0.115513523349675," ","Fund-83018",0.143821681786934," ","Fund-52116",0.183701159516492," ","Fund-54291",0.297356711719948," ","Fund-75012",0.15768481090348," ","Fund-48162",0.185617684043291," "
"4","Fund-2695",0.147232898429557," ","Fund-1620",0.177097215794985," ","Fund-2900",0.245583689341883," ","Fund-4148",0.298977409614787," ","Fund-4146",0.203589841323979," ","Fund-35121",0.456885635267632," ","Fund-70016",0.204284500241699," ","Fund-34563",0.325237509589458," ","Fund-36545",0.412492433877475," ","Fund-75215",0.565116185893515," ","Fund-75215",0.866448299530157," ","Fund-35576",1.03566742485807," ","Fund-76843",1.39158316978093," ","Fund-42721",0.796275894338486," ","Fund-78128",7.4479780694625," ","Fund-78128",9.70790930192802," ","Fund-50222",0.232837141714243," ","Fund-78075",0.114820195551375," ","Fund-48162",0.135588989948268," ","Fund-82630",0.150317739489206," ","Fund-82630",0.124353055325409," ","Fund-52115",0.152631218802424," ","Fund-52242",0.14506633059906," "
"5","Fund-1841",0.143627453289517," ","Fund-1773",0.171385616599596," ","Fund-26",0.216522936299399," ","Fund-34563",0.251445022064666," ","Fund-4148",0.19314484593495," ","Fund-4146",0.297920401142146," ","Fund-33349",0.197592337468071," ","Fund-75215",0.30153226323332," ","Fund-42721",0.387322036967988," ","Fund-38578",0.507092527322004," ","Fund-44968",0.670366048743254," ","Fund-44968",0.999875442647949," ","Fund-50822",1.20852263803634," ","Fund-75813",0.578134658777424," ","Fund-78127",6.56171886215989," ","Fund-79858",0.671081040620401," ","Fund-54291",0.18008428907131," ","Fund-83018",0.111349567587094," ","Fund-78084",0.133522473972721," ","Fund-78611",0.101131977007099," ","Fund-83018",0.0704200328062048," ","Fund-54291",0.117449055151203," ","Fund-52115",0.135741367079163," "
"6","Fund-4346",0.141598408431249," ","Fund-26",0.15940150137134," ","Fund-1076",0.178088879098266," ","Fund-4346",0.161342228533514," ","Fund-2411",0.192636863461198," ","Fund-4148",0.283916065857703," ","Fund-35121",0.185783346017736," ","Fund-44341",0.246793221710651," ","Fund-459",0.376372616065901," ","Fund-35121",0.3593318386107," ","Fund-38578",0.543885582785367," ","Fund-49452",0.999875442647949," ","Fund-1463",0.901103372332679," ","Fund-75467",0.348709683703541," ","Fund-79858",1.14438427733059," ","Fund-75604",0.404776319059592," ","Fund-75012",0.138600653988419," ","Fund-83391",0.107022611300211," ","Fund-50308",0.13240931014126," ","Fund-82541",0.08932852152587," ","Fund-78075",0.0690673900098762," ","Fund-54471",0.0848859053754507," ","Fund-52116",0.13055414491702," "
"7","Fund-2900",0.136761555641266," ","Fund-4918",0.15673694047741," ","Fund-4346",0.177240794399184," ","Fund-4273",0.137039578372313," ","Fund-2127",0.176461500769937," ","Fund-2127",0.262674051966645," ","Fund-459",0.174517854567884," ","Fund-4148",0.230814505278899," ","Fund-35123",0.308423644116952," ","Fund-44342",0.250056282506939," ","Fund-50649",0.5039071178491," ","Fund-50649",0.999875442647949," ","Fund-34563",0.901103372332679," ","Fund-74628",0.30484747438342," ","Fund-75604",1.10019805502363," ","Fund-35121",0.372870210834554," ","Fund-78611",0.109329647714913," ","Fund-78611",0.0994200788838018," ","Fund-78075",0.131188897163391," ","Fund-78077",0.0882796823105679," ","Fund-78076",0.0601704891720776," ","Fund-78075",0.0800626925779391," ","Fund-75012",0.129742866739947," "
"8","Fund-1",0.135823660224465," ","Fund-5002",0.15673694047741," ","Fund-1480",0.168523678977589," ","Fund-79040",0.133619308333945," ","Fund-2164",0.157482775708041," ","Fund-4510",0.212454806489405," ","Fund-5002",0.153509666741492," ","Fund-35121",0.191724805264774," ","Fund-34563",0.263888436720562," ","Fund-4146",0.216078799723442," ","Fund-4146",0.429138704720524," ","Fund-56743",0.992581187719414," ","Fund-35121",0.857989486290855," ","Fund-76953",0.302661137516132," ","Fund-77123",0.742208068076277," ","Fund-48162",0.250415869340587," ","Fund-83391",0.0985680382311921," ","Fund-51978",0.0985217319213404," ","Fund-78085",0.121283171951968," ","Fund-78076",0.0881538850574055," ","Fund-78084",0.0585013974182739," ","Fund-54469",0.0795543233907696," ","Fund-81758",0.111751573080708," "
"9","Fund-1903",0.134614413982319," ","Fund-1478",0.156128251608877," ","Fund-1797",0.161339628107002," ","Fund-79041",0.133619308333945," ","Fund-2094",0.156995809295692," ","Fund-1230",0.209168148465477," ","Fund-4918",0.153509589470912," ","Fund-53743",0.170565375089951," ","Fund-1463",0.216140972404581," ","Fund-39548",0.210248371290013," ","Fund-35121",0.397807609286267," ","Fund-72521",0.77401806131001," ","Fund-44968",0.807055956929913," ","Fund-54291",0.290649243297705," ","Fund-75813",0.289663967632219," ","Fund-50308",0.236600358744819," ","Fund-78391",0.0878375068592547," ","Fund-83163",0.0968404750190744," ","Fund-78077",0.116026041540459," ","Fund-78080",0.0845723774847574," ","Fund-73185",0.057820495316502," ","Fund-78084",0.078178670122822," ","Fund-57787",0.110096568192898," "
"10","Fund-26",0.130466343556518," ","Fund-1056",0.137791611761622," ","Fund-1827",0.148095241745709," ","Fund-1002",0.129402066824345," ","Fund-1626",0.14002830358989," ","Fund-70027",0.199036083418842," ","Fund-57697",0.120204280265918," ","Fund-57697",0.169385150651142," ","Fund-4148",0.196245304670024," ","Fund-35576",0.191974905157107," ","Fund-50505",0.392208560046999," ","Fund-35121",0.731536418059581," ","Fund-49452",0.807055956929913," ","Fund-4148",0.285636121598339," ","Fund-54291",0.27602514334632," ","Fund-54291",0.204057254863278," ","Fund-82317",0.0832176626097338," ","Fund-78085",0.0962239573996613," ","Fund-78079",0.112736632924936," ","Fund-51978",0.0836188181672436," ","Fund-78077",0.056308884844633," ","Fund-83018",0.075635319012207," ","Fund-77088",0.100732612791446," "
