YYYYMMDD, Ticker, LO, LH, LL, LC, Offset, TRL
20020304,LHJ02,0.5975,0.599,0.5955,0.5968,0,-999
20020305,LHJ02,0.592,0.5925,0.5863,0.5885,0,0.0105
20020306,LHJ02,0.587,0.5885,0.5765,0.5798,0,0.012
20020307,LHJ02,0.581,0.5865,0.5805,0.5833,0,0.0067
20020308,LHJ02,0.5825,0.583,0.5788,0.5813,0,0.0045
20020311,LHJ02,0.579,0.581,0.5755,0.576,0,0.0058
20020312,LHJ02,0.574,0.5765,0.5723,0.5723,0,0.0042
20020313,LHJ02,0.5723,0.5758,0.5655,0.5728,0,0.0103
20020314,LHJ02,0.5725,0.5725,0.56,0.5605,0,0.0128
20020315,LHJ02,0.559,0.559,0.547,0.5475,0,0.0135
20020318,LHJ02,0.545,0.545,0.531,0.5385,0,0.0165
20020319,LHJ02,0.535,0.537,0.525,0.5255,0,0.0135
20020320,LHM02,0.6225,0.632,0.6225,0.6283,-0.0967,0.0098
20020321,LHM02,0.6283,0.636,0.6255,0.6275,-0.0967,0.0105
20020322,LHM02,0.6245,0.6305,0.6195,0.6198,-0.0967,0.011
20020325,LHM02,0.6225,0.627,0.6205,0.624,-0.0967,0.0072
20020326,LHM02,0.62,0.623,0.611,0.6118,-0.0967,0.013
20020327,LHM02,0.611,0.6148,0.606,0.6083,-0.0967,0.0088
20020328,LHM02,0.609,0.6105,0.6028,0.605,-0.0967,0.0077
20020401,LHM02,0.604,0.6128,0.604,0.6075,-0.0967,0.0088
20020402,LHM02,0.6055,0.6085,0.5993,0.6053,-0.0967,0.0092
20020403,LHM02,0.6055,0.6078,0.5973,0.5978,-0.0967,0.0105
20020404,LHM02,0.595,0.599,0.5778,0.5778,-0.0967,0.0212
20020405,LHM02,0.5755,0.5755,0.564,0.5685,-0.0967,0.0138
20020408,LHM02,0.565,0.5678,0.5528,0.5538,-0.0967,0.0157
20020409,LHM02,0.5505,0.563,0.5505,0.5588,-0.0967,0.0125
20020412,LHM02,0.504,0.5385,0.504,0.5285,-0.0967,0.0548
20020415,LHM02,0.5285,0.5485,0.528,0.543,-0.0967,0.0205
20020416,LHM02,0.544,0.5515,0.5385,0.5463,-0.0967,0.013
20020417,LHM02,0.5505,0.5615,0.5505,0.5598,-0.0967,0.0152
20020418,LHM02,0.571,0.573,0.563,0.5645,-0.0967,0.0132
20020419,LHM02,0.5625,0.576,0.562,0.569,-0.0967,0.014
20020422,LHM02,0.5665,0.5665,0.5515,0.555,-0.0967,0.0175
20020423,LHM02,0.549,0.5515,0.535,0.535,-0.0967,0.02
20020424,LHM02,0.54,0.5473,0.535,0.5383,-0.0967,0.0123
20020425,LHM02,0.537,0.544,0.5195,0.5418,-0.0967,0.0245
20020426,LHM02,0.5425,0.5445,0.5263,0.5275,-0.0967,0.0182
20020429,LHM02,0.521,0.526,0.5075,0.511,-0.0967,0.02
20020430,LHM02,0.507,0.522,0.503,0.5205,-0.0967,0.019
20020501,LHM02,0.5105,0.525,0.505,0.5203,-0.0967,0.02
20020502,LHM02,0.524,0.5378,0.524,0.5328,-0.0967,0.0175
20020503,LHM02,0.5425,0.5468,0.5323,0.5325,-0.0967,0.0145
20020506,LHM02,0.54,0.54,0.5285,0.5363,-0.0967,0.0115
20020507,LHM02,0.54,0.54,0.523,0.5275,-0.0967,0.017
20020508,LHM02,0.529,0.5325,0.5223,0.5245,-0.0967,0.0102
20020509,LHM02,0.527,0.5295,0.5245,0.5273,-0.0967,0.005
20020510,LHM02,0.534,0.538,0.5315,0.5363,-0.0967,0.0107
20020513,LHM02,0.541,0.545,0.54,0.5435,-0.0967,0.0087
20020514,LHM02,0.546,0.546,0.527,0.5348,-0.0967,0.019
20020515,LHM02,0.5375,0.5388,0.5295,0.5378,-0.0967,0.0093
20020516,LHM02,0.536,0.5375,0.527,0.5283,-0.0967,0.0108
20020517,LHM02,0.5295,0.5335,0.5245,0.5318,-0.0967,0.009
20020522,LHM02,0.484,0.49,0.4718,0.4788,-0.0967,0.06
20020523,LHM02,0.4795,0.487,0.479,0.4853,-0.0967,0.0082
20020524,LHM02,0.4885,0.4915,0.4838,0.4838,-0.0967,0.0077
20020528,LHM02,0.477,0.477,0.4638,0.4638,-0.0967,0.02
20020529,LHN02,0.4705,0.4748,0.4615,0.4705,-0.1049,0.0133
20020530,LHN02,0.4695,0.4815,0.464,0.4668,-0.1049,0.0175
20020531,LHN02,0.467,0.4795,0.467,0.4778,-0.1049,0.0127
20020603,LHN02,0.476,0.49,0.476,0.4843,-0.1049,0.014
20020604,LHN02,0.4845,0.4845,0.4708,0.473,-0.1049,0.0137
20020605,LHN02,0.477,0.477,0.4628,0.4758,-0.1049,0.0142
20020606,LHN02,0.483,0.4955,0.483,0.4913,-0.1049,0.0197
20020607,LHN02,0.489,0.4963,0.486,0.4878,-0.1049,0.0103
20020610,LHN02,0.489,0.489,0.468,0.4685,-0.1049,0.021
20020611,LHN02,0.471,0.4785,0.4665,0.47,-0.1049,0.012
20020612,LHN02,0.47,0.482,0.468,0.4755,-0.1049,0.014
20020613,LHN02,0.479,0.4945,0.4783,0.4918,-0.1049,0.019
20020614,LHN02,0.494,0.4995,0.49,0.4908,-0.1049,0.0095
20020617,LHN02,0.497,0.5045,0.495,0.4985,-0.1049,0.0137
20020618,LHN02,0.503,0.5083,0.5005,0.507,-0.1049,0.0098
20020619,LHQ02,0.4925,0.493,0.4825,0.4838,-0.0856,0.0105
20020620,LHQ02,0.49,0.4963,0.489,0.4918,-0.0856,0.0125
20020621,LHQ02,0.488,0.4895,0.4775,0.4833,-0.0856,0.0143
20020624,LHQ02,0.4865,0.49,0.475,0.4818,-0.0856,0.015
20020625,LHQ02,0.4803,0.4845,0.467,0.4683,-0.0856,0.0175
20020626,LHQ02,0.4685,0.471,0.4595,0.4643,-0.0856,0.0115
20020627,LHQ02,0.4625,0.466,0.4593,0.4635,-0.0856,0.0067
20020628,LHQ02,0.4625,0.4695,0.462,0.4673,-0.0856,0.0075
20020701,LHQ02,0.476,0.4873,0.476,0.4873,-0.0856,0.02
20020702,LHQ02,0.4925,0.5035,0.4905,0.494,-0.0856,0.0162
20020703,LHQ02,0.4945,0.4958,0.4865,0.4935,-0.0856,0.0093
20020705,LHQ02,0.4965,0.5135,0.4965,0.5135,-0.0856,0.02
20020708,LHQ02,0.5175,0.5225,0.509,0.5095,-0.0856,0.0135
20020709,LHQ02,0.51,0.5105,0.4908,0.4958,-0.0856,0.0197
20020710,LHQ02,0.4978,0.5085,0.493,0.5085,-0.0856,0.0155
20020711,LHQ02,0.514,0.5188,0.51,0.5143,-0.0856,0.0103
20020712,LHQ02,0.5155,0.5178,0.5065,0.5135,-0.0856,0.0113
20020715,LHQ02,0.517,0.5248,0.5165,0.524,-0.0856,0.0113
20020716,LHQ02,0.5255,0.5265,0.504,0.5085,-0.0856,0.0225
20020717,LHQ02,0.506,0.507,0.497,0.498,-0.0856,0.0115
20020718,LHQ02,0.501,0.515,0.501,0.513,-0.0856,0.017
20020719,LHQ02,0.512,0.512,0.504,0.5068,-0.0856,0.009
20020722,LHQ02,0.509,0.5173,0.4905,0.4983,-0.0856,0.0268
20020723,LHQ02,0.5015,0.506,0.4985,0.5028,-0.0856,0.0077
20020724,LHQ02,0.4975,0.501,0.4915,0.4985,-0.0856,0.0113
20020725,LHQ02,0.499,0.5085,0.4985,0.507,-0.0856,0.01
20020726,LHQ02,0.509,0.5135,0.5065,0.508,-0.0856,0.007
20020729,LHV02,0.411,0.418,0.411,0.4138,0.0044,0.007
20020730,LHV02,0.4125,0.4215,0.4093,0.418,0.0044,0.0122
20020731,LHV02,0.4205,0.422,0.415,0.417,0.0044,0.007
20020801,LHV02,0.4085,0.412,0.3978,0.3978,0.0044,0.0192
20020802,LHV02,0.394,0.3955,0.3858,0.39,0.0044,0.012
20020805,LHV02,0.387,0.388,0.38,0.3825,0.0044,0.01
20020806,LHV02,0.378,0.3905,0.378,0.3848,0.0044,0.0125
20020807,LHV02,0.375,0.384,0.375,0.3805,0.0044,0.0098
20020808,LHV02,0.3825,0.394,0.382,0.3905,0.0044,0.0135
20020809,LHV02,0.39,0.396,0.39,0.3945,0.0044,0.006
20020812,LHV02,0.387,0.3905,0.3745,0.3765,0.0044,0.02
20020813,LHV02,0.3725,0.3798,0.372,0.3745,0.0044,0.0078
20020814,LHV02,0.375,0.3815,0.3693,0.371,0.0044,0.0122
20020815,LHV02,0.365,0.3733,0.364,0.3678,0.0044,0.0093
20020816,LHV02,0.37,0.37,0.3628,0.3658,0.0044,0.0072
20020819,LHV02,0.364,0.3675,0.3625,0.366,0.0044,0.005
20020820,LHV02,0.364,0.364,0.346,0.346,0.0044,0.02
20020821,LHV02,0.3385,0.3493,0.334,0.3488,0.0044,0.0153
20020822,LHV02,0.3465,0.355,0.3465,0.35,0.0044,0.0085
20020823,LHV02,0.346,0.358,0.344,0.3455,0.0044,0.014
20020826,LHV02,0.336,0.338,0.3255,0.3263,0.0044,0.02
20020827,LHV02,0.3225,0.3265,0.3205,0.3223,0.0044,0.006
20020828,LHV02,0.3165,0.3175,0.3023,0.3023,0.0044,0.02
20020829,LHV02,0.3015,0.3085,0.2978,0.3065,0.0044,0.0107
20020830,LHV02,0.306,0.3125,0.2995,0.3088,0.0044,0.013
20020903,LHV02,0.2955,0.301,0.294,0.3005,0.0044,0.0148
20020904,LHV02,0.3,0.3203,0.299,0.3183,0.0044,0.0213
20020905,LHV02,0.3175,0.3285,0.313,0.327,0.0044,0.0155
20020906,LHV02,0.329,0.3435,0.327,0.337,0.0044,0.0165
20020909,LHV02,0.34,0.3445,0.3255,0.3255,0.0044,0.019
20020910,LHV02,0.33,0.3455,0.33,0.3455,0.0044,0.02
20020911,LHV02,0.355,0.3625,0.3495,0.3508,0.0044,0.017
20020912,LHV02,0.354,0.357,0.347,0.3525,0.0044,0.01
20020913,LHZ02,0.3725,0.3803,0.366,0.3803,-0.0166,0.0143
20020916,LHZ02,0.3825,0.3825,0.373,0.373,-0.0166,0.0095
20020917,LHZ02,0.371,0.377,0.3663,0.3733,-0.0166,0.0107
20020918,LHZ02,0.3733,0.38,0.3678,0.3795,-0.0166,0.0122
20020919,LHZ02,0.39,0.3905,0.3755,0.3835,-0.0166,0.015
20020920,LHZ02,0.3855,0.3855,0.375,0.3798,-0.0166,0.0105
20020923,LHZ02,0.3755,0.3765,0.3598,0.3598,-0.0166,0.02
20020924,LHZ02,0.357,0.3695,0.357,0.3693,-0.0166,0.0125
20020925,LHZ02,0.3705,0.385,0.367,0.385,-0.0166,0.018
20020926,LHZ02,0.3895,0.395,0.383,0.39,-0.0166,0.012
20020927,LHZ02,0.3895,0.39,0.383,0.3888,-0.0166,0.007
20020930,LHZ02,0.405,0.4088,0.4,0.4055,-0.0166,0.02
20021001,LHZ02,0.406,0.406,0.3913,0.3945,-0.0166,0.0147
20021002,LHZ02,0.3945,0.411,0.3915,0.407,-0.0166,0.0195
20021003,LHZ02,0.41,0.414,0.405,0.4083,-0.0166,0.009
20021004,LHZ02,0.409,0.409,0.3955,0.396,-0.0166,0.0135
20021007,LHZ02,0.3975,0.3975,0.3835,0.3843,-0.0166,0.014
20021008,LHZ02,0.3865,0.4035,0.3855,0.4035,-0.0166,0.0192
20021009,LHZ02,0.4075,0.4108,0.395,0.405,-0.0166,0.0158
20021010,LHZ02,0.41,0.4145,0.4008,0.4095,-0.0166,0.0137
20021011,LHZ02,0.4095,0.412,0.4015,0.4025,-0.0166,0.0105
20021014,LHZ02,0.4025,0.422,0.3945,0.421,-0.0166,0.0275
20021015,LHZ02,0.4285,0.4305,0.417,0.4265,-0.0166,0.0135
20021016,LHZ02,0.4265,0.4288,0.4195,0.4218,-0.0166,0.0093
20021017,LHZ02,0.4155,0.421,0.412,0.4165,-0.0166,0.0098
20021018,LHZ02,0.416,0.4185,0.4063,0.4113,-0.0166,0.0122
20021021,LHZ02,0.4155,0.4155,0.4015,0.4015,-0.0166,0.014
20021022,LHZ02,0.3965,0.4035,0.3955,0.4025,-0.0166,0.008
20021023,LHZ02,0.3995,0.4195,0.396,0.4195,-0.0166,0.0235
20021024,LHZ02,0.4165,0.418,0.4028,0.4028,-0.0166,0.0167
20021025,LHZ02,0.399,0.414,0.3978,0.406,-0.0166,0.0162
20021028,LHZ02,0.404,0.415,0.402,0.4125,-0.0166,0.013
20021029,LHZ02,0.405,0.407,0.4003,0.401,-0.0166,0.0122
20021030,LHZ02,0.4075,0.421,0.407,0.421,-0.0166,0.02
20021031,LHZ02,0.4255,0.435,0.423,0.4313,-0.0166,0.014
20021101,LHZ02,0.4265,0.4348,0.4265,0.4318,-0.0166,0.0083
20021104,LHZ02,0.4335,0.4343,0.4265,0.4305,-0.0166,0.0078
20021105,LHZ02,0.4325,0.4505,0.4325,0.4483,-0.0166,0.02
20021106,LHZ02,0.4483,0.4545,0.444,0.45,-0.0166,0.0105
20021107,LHZ02,0.455,0.46,0.452,0.4593,-0.0166,0.01
20021108,LHZ02,0.461,0.464,0.4555,0.459,-0.0166,0.0085
20021111,LHZ02,0.455,0.4705,0.453,0.4683,-0.0166,0.0175
20021112,LHZ02,0.468,0.468,0.4505,0.451,-0.0166,0.0178
20021113,LHZ02,0.451,0.463,0.447,0.4515,-0.0166,0.016
20021114,LHZ02,0.4515,0.4575,0.444,0.446,-0.0166,0.0135
20021115,LHZ02,0.4465,0.4575,0.445,0.4575,-0.0166,0.0125
20021118,LHZ02,0.455,0.4578,0.44,0.4428,-0.0166,0.0178
20021119,LHZ02,0.4428,0.4568,0.4393,0.4563,-0.0166,0.0175
20021120,LHZ02,0.452,0.4615,0.447,0.4603,-0.0166,0.0145
20021121,LHZ02,0.461,0.4615,0.449,0.449,-0.0166,0.0125
20021122,LHZ02,0.447,0.452,0.446,0.4515,-0.0166,0.006
20021125,LHZ02,0.454,0.4555,0.449,0.452,-0.0166,0.0065
20021126,LHZ02,0.451,0.4588,0.451,0.458,-0.0166,0.0078
20021127,LHZ02,0.46,0.4688,0.4595,0.4675,-0.0166,0.0108
20021129,LHZ02,0.4655,0.4695,0.461,0.4655,-0.0166,0.0085
20021202,LHG03,0.5385,0.551,0.536,0.5433,-0.0923,0.015
20021203,LHG03,0.547,0.5515,0.5425,0.547,-0.0923,0.009
20021204,LHG03,0.5485,0.551,0.539,0.5453,-0.0923,0.012
20021205,LHG03,0.546,0.5495,0.5403,0.548,-0.0923,0.0092
20021206,LHG03,0.545,0.5475,0.5325,0.5333,-0.0923,0.0155
20021209,LHG03,0.523,0.526,0.5133,0.5133,-0.0923,0.02
20021210,LHG03,0.5083,0.5175,0.5038,0.5045,-0.0923,0.0137
20021211,LHG03,0.5103,0.5245,0.509,0.5245,-0.0923,0.02
20021212,LHG03,0.5255,0.5285,0.5188,0.5198,-0.0923,0.0097
20021213,LHG03,0.523,0.5245,0.516,0.5225,-0.0923,0.0085
20021216,LHG03,0.52,0.5203,0.512,0.5183,-0.0923,0.0105
20021217,LHG03,0.5165,0.533,0.516,0.5233,-0.0923,0.017
20021218,LHG03,0.517,0.517,0.5115,0.5123,-0.0923,0.0118
20021219,LHG03,0.5075,0.5218,0.5075,0.519,-0.0923,0.0143
20021220,LHG03,0.516,0.5243,0.5155,0.518,-0.0923,0.0088
20021223,LHG03,0.521,0.537,0.521,0.5315,-0.0923,0.019
20021226,LHG03,0.531,0.5425,0.53,0.5398,-0.0923,0.0125
20021227,LHG03,0.539,0.542,0.53,0.535,-0.0923,0.012
20021230,LHG03,0.5355,0.5375,0.532,0.5355,-0.0923,0.0055
20021231,LHG03,0.5155,0.522,0.5155,0.516,-0.0923,0.02
20030102,LHG03,0.5185,0.5228,0.5125,0.5183,-0.0923,0.0103
20030103,LHG03,0.518,0.5308,0.518,0.5308,-0.0923,0.0128
20030106,LHG03,0.53,0.53,0.5158,0.5178,-0.0923,0.015
20030107,LHG03,0.5158,0.5255,0.5158,0.5175,-0.0923,0.0097
20030108,LHG03,0.515,0.5235,0.515,0.5213,-0.0923,0.0085
20030109,LHG03,0.522,0.5345,0.5215,0.5323,-0.0923,0.0132
20030110,LHG03,0.5285,0.5295,0.524,0.5275,-0.0923,0.0083
20030113,LHG03,0.5275,0.5285,0.5185,0.5248,-0.0923,0.01
20030114,LHG03,0.5305,0.5375,0.5283,0.5283,-0.0923,0.0127
20030115,LHG03,0.5285,0.5315,0.5103,0.5113,-0.0923,0.0212
20030116,LHG03,0.516,0.521,0.5093,0.5183,-0.0923,0.0117
20030117,LHG03,0.5135,0.5175,0.5063,0.5063,-0.0923,0.012
20030121,LHG03,0.502,0.5043,0.495,0.4965,-0.0923,0.0113
20030122,LHJ03,0.5543,0.566,0.55,0.566,-0.1513,0.016
20030123,LHJ03,0.565,0.566,0.5555,0.5605,-0.1513,0.0105
20030124,LHJ03,0.56,0.568,0.5505,0.564,-0.1513,0.0175
20030127,LHJ03,0.562,0.5625,0.5475,0.5515,-0.1513,0.0165
20030128,LHJ03,0.55,0.555,0.545,0.5515,-0.1513,0.01
20030129,LHJ03,0.554,0.5715,0.554,0.5695,-0.1513,0.02
20030130,LHJ03,0.5685,0.573,0.562,0.5653,-0.1513,0.011
20030131,LHJ03,0.568,0.5775,0.568,0.5685,-0.1513,0.0122
20030203,LHJ03,0.567,0.567,0.5485,0.5505,-0.1513,0.02
20030204,LHJ03,0.549,0.549,0.5305,0.5395,-0.1513,0.02
20030205,LHJ03,0.535,0.5465,0.5325,0.54,-0.1513,0.014
20030206,LHJ03,0.5395,0.5438,0.533,0.536,-0.1513,0.0108
20030207,LHJ03,0.537,0.544,0.535,0.5378,-0.1513,0.009
20030210,LHJ03,0.54,0.549,0.54,0.5488,-0.1513,0.0112
20030211,LHJ03,0.543,0.546,0.5385,0.5428,-0.1513,0.0103
20030212,LHJ03,0.537,0.5375,0.523,0.523,-0.1513,0.0198
20030213,LHJ03,0.517,0.5305,0.5155,0.5295,-0.1513,0.015
20030214,LHJ03,0.521,0.528,0.521,0.5245,-0.1513,0.0085
20030218,LHJ03,0.5245,0.5345,0.5245,0.5285,-0.1513,0.01
20030219,LHJ03,0.5255,0.5325,0.525,0.5315,-0.1513,0.0075
20030220,LHJ03,0.533,0.533,0.5268,0.5295,-0.1513,0.0062
20030221,LHJ03,0.5255,0.541,0.52,0.5393,-0.1513,0.021
20030224,LHJ03,0.538,0.5435,0.5343,0.5423,-0.1513,0.0092
20030225,LHJ03,0.535,0.537,0.5325,0.533,-0.1513,0.0098
20030226,LHJ03,0.5325,0.54,0.5305,0.5395,-0.1513,0.0095
20030227,LHJ03,0.537,0.5385,0.5315,0.5328,-0.1513,0.008
20030228,LHJ03,0.539,0.5495,0.5375,0.5455,-0.1513,0.0167
20030303,LHJ03,0.544,0.5455,0.5385,0.5438,-0.1513,0.007
20030304,LHJ03,0.5405,0.5405,0.525,0.5315,-0.1513,0.0188
20030305,LHJ03,0.5325,0.5325,0.524,0.5263,-0.1513,0.0085
20030306,LHJ03,0.524,0.5263,0.5065,0.5188,-0.1513,0.0198
20030307,LHJ03,0.5205,0.523,0.517,0.5193,-0.1513,0.006
20030310,LHJ03,0.5225,0.5248,0.5143,0.5163,-0.1513,0.0105
20030311,LHJ03,0.52,0.5233,0.5113,0.5233,-0.1513,0.012
20030312,LHJ03,0.521,0.5295,0.5205,0.5265,-0.1513,0.009
20030313,LHJ03,0.5265,0.5305,0.522,0.5265,-0.1513,0.0085
20030314,LHJ03,0.5275,0.5315,0.5238,0.5293,-0.1513,0.0077
20030317,LHJ03,0.521,0.524,0.51,0.512,-0.1513,0.0193
20030318,LHJ03,0.5155,0.518,0.512,0.5155,-0.1513,0.006
20030319,LHJ03,0.52,0.533,0.52,0.531,-0.1513,0.0175
20030320,LHJ03,0.529,0.534,0.5275,0.5288,-0.1513,0.0065
20030321,LHJ03,0.525,0.5285,0.5195,0.5255,-0.1513,0.0093
20030324,LHM03,0.6105,0.611,0.5955,0.5955,-0.2413,0.02
20030325,LHM03,0.591,0.5953,0.5858,0.5878,-0.2413,0.0097
20030326,LHM03,0.584,0.59,0.5688,0.5775,-0.2413,0.0212
20030327,LHM03,0.575,0.579,0.5728,0.5758,-0.2413,0.0062
20030328,LHM03,0.577,0.5805,0.572,0.5775,-0.2413,0.0085
20030331,LHM03,0.579,0.5845,0.5785,0.5835,-0.2413,0.007
20030401,LHM03,0.574,0.5803,0.5645,0.5645,-0.2413,0.019
20030402,LHM03,0.567,0.5835,0.567,0.5835,-0.2413,0.019
20030403,LHM03,0.5815,0.5898,0.579,0.5885,-0.2413,0.0108
20030404,LHM03,0.5925,0.6013,0.5895,0.5975,-0.2413,0.0128
20030407,LHM03,0.598,0.5995,0.5925,0.5965,-0.2413,0.007
20030408,LHM03,0.5925,0.597,0.5888,0.591,-0.2413,0.0082
20030409,LHM03,0.588,0.593,0.584,0.5858,-0.2413,0.009
20030410,LHM03,0.579,0.5815,0.5718,0.5755,-0.2413,0.014
20030411,LHM03,0.577,0.5855,0.5748,0.5833,-0.2413,0.0107
20030414,LHM03,0.5815,0.5828,0.5768,0.5783,-0.2413,0.0065
20030415,LHM03,0.5768,0.5848,0.5745,0.584,-0.2413,0.0103
20030416,LHM03,0.579,0.5843,0.579,0.5828,-0.2413,0.0053
20030417,LHM03,0.5835,0.5915,0.5835,0.5913,-0.2413,0.0087
20030421,LHM03,0.592,0.604,0.592,0.598,-0.2413,0.0127
20030422,LHM03,0.5995,0.5995,0.5885,0.5955,-0.2413,0.011
20030423,LHM03,0.593,0.608,0.59,0.6063,-0.2413,0.018
20030424,LHM03,0.6065,0.6163,0.605,0.6148,-0.2413,0.0113
20030425,LHM03,0.6175,0.6228,0.615,0.6175,-0.2413,0.008
20030428,LHM03,0.622,0.625,0.6155,0.6228,-0.2413,0.0095
20030429,LHM03,0.624,0.624,0.613,0.6223,-0.2413,0.011
20030430,LHM03,0.6185,0.6285,0.6165,0.6278,-0.2413,0.012
20030501,LHM03,0.6305,0.633,0.622,0.6288,-0.2413,0.011
20030502,LHM03,0.635,0.6455,0.6325,0.6455,-0.2413,0.0167
20030505,LHM03,0.647,0.649,0.6425,0.6478,-0.2413,0.0065
20030506,LHM03,0.649,0.649,0.6405,0.6433,-0.2413,0.0085
20030507,LHM03,0.6425,0.643,0.631,0.6358,-0.2413,0.0123
20030508,LHM03,0.6365,0.6425,0.6345,0.642,-0.2413,0.008
20030509,LHM03,0.645,0.6545,0.645,0.6523,-0.2413,0.0125
20030512,LHM03,0.656,0.6575,0.648,0.6538,-0.2413,0.0095
20030513,LHM03,0.6535,0.6545,0.646,0.646,-0.2413,0.0085
20030514,LHM03,0.649,0.6585,0.6453,0.656,-0.2413,0.0132
20030515,LHM03,0.655,0.6555,0.647,0.6503,-0.2413,0.009
20030516,LHM03,0.6475,0.6688,0.6475,0.6688,-0.2413,0.0213
20030519,LHM03,0.6705,0.6745,0.6675,0.6705,-0.2413,0.007
20030520,LHM03,0.6685,0.6768,0.6603,0.662,-0.2413,0.0165
20030521,LHM03,0.659,0.664,0.6498,0.6513,-0.2413,0.0142
20030522,LHM03,0.6495,0.6495,0.6425,0.644,-0.2413,0.0088
20030523,LHM03,0.64,0.642,0.633,0.6343,-0.2413,0.011
20030527,LHM03,0.6325,0.6345,0.6275,0.6308,-0.2413,0.007
20030528,LHM03,0.6308,0.647,0.6308,0.6408,-0.2413,0.0162
20030529,LHM03,0.6425,0.6485,0.64,0.6423,-0.2413,0.0085
20030530,LHM03,0.642,0.649,0.638,0.6485,-0.2413,0.011
20030602,LHN03,0.682,0.687,0.674,0.6753,-0.2683,0.013
20030603,LHN03,0.6775,0.6825,0.669,0.675,-0.2683,0.0135
20030604,LHN03,0.6755,0.6915,0.6755,0.6833,-0.2683,0.0165
20030605,LHN03,0.6825,0.6845,0.678,0.6793,-0.2683,0.0065
20030606,LHN03,0.682,0.6863,0.68,0.6835,-0.2683,0.007
20030609,LHN03,0.686,0.6888,0.6835,0.6845,-0.2683,0.0053
20030610,LHN03,0.6865,0.6895,0.6795,0.6825,-0.2683,0.01
20030611,LHN03,0.668,0.673,0.6625,0.6625,-0.2683,0.02
20030612,LHN03,0.6635,0.668,0.659,0.6605,-0.2683,0.009
20030613,LHN03,0.6675,0.6805,0.667,0.6793,-0.2683,0.02
20030616,LHQ03,0.674,0.6785,0.656,0.6575,-0.2648,0.0225
20030617,LHQ03,0.664,0.668,0.655,0.6618,-0.2648,0.013
20030618,LHQ03,0.656,0.6765,0.655,0.676,-0.2648,0.0215
20030619,LHQ03,0.671,0.673,0.6625,0.6625,-0.2648,0.0135
20030620,LHQ03,0.662,0.6685,0.6568,0.6568,-0.2648,0.0117
20030623,LHQ03,0.662,0.663,0.6475,0.6515,-0.2648,0.0155
20030624,LHQ03,0.651,0.661,0.6485,0.6528,-0.2648,0.0125
20030625,LHQ03,0.647,0.6565,0.6425,0.6563,-0.2648,0.014
20030626,LHQ03,0.652,0.655,0.649,0.6503,-0.2648,0.0073
20030627,LHQ03,0.651,0.6645,0.651,0.6555,-0.2648,0.0142
20030630,LHQ03,0.6455,0.647,0.6365,0.6398,-0.2648,0.019
20030701,LHQ03,0.638,0.645,0.6368,0.643,-0.2648,0.0082
20030702,LHQ03,0.651,0.651,0.6435,0.6435,-0.2648,0.008
20030703,LHQ03,0.6475,0.659,0.6475,0.659,-0.2648,0.0155
20030707,LHQ03,0.6655,0.6748,0.664,0.6673,-0.2648,0.0158
20030708,LHQ03,0.664,0.664,0.653,0.6585,-0.2648,0.0143
20030709,LHQ03,0.653,0.6535,0.647,0.6513,-0.2648,0.0115
20030710,LHQ03,0.6515,0.6575,0.649,0.655,-0.2648,0.0085
20030711,LHQ03,0.657,0.657,0.6395,0.6498,-0.2648,0.0175
20030714,LHQ03,0.642,0.647,0.6313,0.6315,-0.2648,0.0185
20030715,LHQ03,0.629,0.631,0.6205,0.6263,-0.2648,0.011
20030716,LHQ03,0.62,0.631,0.62,0.627,-0.2648,0.011
20030717,LHQ03,0.6275,0.6298,0.6155,0.6233,-0.2648,0.0143
20030718,LHQ03,0.6245,0.6288,0.616,0.6188,-0.2648,0.0128
20030721,LHQ03,0.6195,0.6215,0.6065,0.6118,-0.2648,0.015
20030722,LHV03,0.551,0.5565,0.5338,0.5338,-0.2051,0.0227
20030723,LHV03,0.528,0.5355,0.524,0.5243,-0.2051,0.0115
20030724,LHV03,0.52,0.5335,0.517,0.5293,-0.2051,0.0165
20030725,LHV03,0.535,0.538,0.5313,0.535,-0.2051,0.0087
20030728,LHV03,0.5225,0.534,0.517,0.5205,-0.2051,0.018
20030729,LHV03,0.5225,0.5285,0.5125,0.5125,-0.2051,0.016
20030730,LHV03,0.516,0.5235,0.5128,0.5133,-0.2051,0.011
20030731,LHV03,0.5133,0.517,0.508,0.513,-0.2051,0.009
20030801,LHV03,0.5115,0.521,0.508,0.5113,-0.2051,0.013
20030804,LHV03,0.5115,0.525,0.5115,0.518,-0.2051,0.0137
20030805,LHV03,0.52,0.5268,0.5135,0.5233,-0.2051,0.0133
20030806,LHV03,0.5265,0.5375,0.525,0.5358,-0.2051,0.0142
20030807,LHV03,0.536,0.538,0.527,0.5355,-0.2051,0.011
20030808,LHV03,0.5355,0.5458,0.5305,0.5458,-0.2051,0.0153
20030811,LHV03,0.5408,0.5458,0.5355,0.5423,-0.2051,0.0103
20030812,LHV03,0.535,0.54,0.5245,0.5285,-0.2051,0.0178
20030813,LHV03,0.5265,0.535,0.5228,0.5308,-0.2051,0.0122
20030814,LHV03,0.528,0.5285,0.5205,0.5215,-0.2051,0.0103
20030815,LHV03,0.52,0.5215,0.513,0.5165,-0.2051,0.0085
20030818,LHV03,0.5135,0.5258,0.511,0.5258,-0.2051,0.0148
20030819,LHV03,0.524,0.535,0.5218,0.5343,-0.2051,0.0132
